tiempo,semaforo_id,num_vehiculos,fase,duracion_verde
120.0,2496228891,0,0,15
120.0,cluster_12013799525_12013799526_2496228894,0,0,15
120.0,cluster_12013799527_12013799528_2190601967,0,0,15
120.0,cluster_12013799529_12013799530_473195061,0,0,15
121.0,2496228891,0,0,15
121.0,cluster_12013799525_12013799526_2496228894,0,0,15
121.0,cluster_12013799527_12013799528_2190601967,0,0,15
121.0,cluster_12013799529_12013799530_473195061,0,0,15
122.0,2496228891,0,0,15
122.0,cluster_12013799525_12013799526_2496228894,0,0,15
122.0,cluster_12013799527_12013799528_2190601967,0,0,15
122.0,cluster_12013799529_12013799530_473195061,0,0,15
123.0,2496228891,0,0,15
123.0,cluster_12013799525_12013799526_2496228894,0,0,15
123.0,cluster_12013799527_12013799528_2190601967,0,0,15
123.0,cluster_12013799529_12013799530_473195061,0,0,15
124.0,2496228891,0,0,15
124.0,cluster_12013799525_12013799526_2496228894,0,0,15
124.0,cluster_12013799527_12013799528_2190601967,0,0,15
124.0,cluster_12013799529_12013799530_473195061,0,0,15
125.0,2496228891,0,0,15
125.0,cluster_12013799525_12013799526_2496228894,0,0,15
125.0,cluster_12013799527_12013799528_2190601967,0,0,15
125.0,cluster_12013799529_12013799530_473195061,0,0,15
126.0,2496228891,0,0,15
126.0,cluster_12013799525_12013799526_2496228894,0,0,15
126.0,cluster_12013799527_12013799528_2190601967,0,0,15
126.0,cluster_12013799529_12013799530_473195061,0,0,15
127.0,2496228891,0,0,15
127.0,cluster_12013799525_12013799526_2496228894,0,0,15
127.0,cluster_12013799527_12013799528_2190601967,0,0,15
127.0,cluster_12013799529_12013799530_473195061,0,0,15
128.0,2496228891,0,0,15
128.0,cluster_12013799525_12013799526_2496228894,0,0,15
128.0,cluster_12013799527_12013799528_2190601967,0,0,15
128.0,cluster_12013799529_12013799530_473195061,0,0,15
129.0,2496228891,0,0,15
129.0,cluster_12013799525_12013799526_2496228894,0,0,15
129.0,cluster_12013799527_12013799528_2190601967,0,0,15
129.0,cluster_12013799529_12013799530_473195061,0,0,15
130.0,2496228891,0,0,15
130.0,cluster_12013799525_12013799526_2496228894,0,0,15
130.0,cluster_12013799527_12013799528_2190601967,0,0,15
130.0,cluster_12013799529_12013799530_473195061,0,0,15
131.0,2496228891,0,0,15
131.0,cluster_12013799525_12013799526_2496228894,0,0,15
131.0,cluster_12013799527_12013799528_2190601967,0,0,15
131.0,cluster_12013799529_12013799530_473195061,0,0,15
132.0,2496228891,0,0,15
132.0,cluster_12013799525_12013799526_2496228894,0,0,15
132.0,cluster_12013799527_12013799528_2190601967,0,0,15
132.0,cluster_12013799529_12013799530_473195061,0,0,15
136.0,2496228891,0,2,15
136.0,cluster_12013799525_12013799526_2496228894,4,2,21
136.0,cluster_12013799527_12013799528_2190601967,0,2,15
136.0,cluster_12013799529_12013799530_473195061,0,2,15
137.0,2496228891,0,2,15
137.0,cluster_12013799525_12013799526_2496228894,2,2,15
137.0,cluster_12013799527_12013799528_2190601967,0,2,15
137.0,cluster_12013799529_12013799530_473195061,0,2,15
138.0,2496228891,0,2,15
138.0,cluster_12013799525_12013799526_2496228894,2,2,15
138.0,cluster_12013799527_12013799528_2190601967,0,2,15
138.0,cluster_12013799529_12013799530_473195061,0,2,15
139.0,2496228891,0,2,15
139.0,cluster_12013799525_12013799526_2496228894,2,2,15
139.0,cluster_12013799527_12013799528_2190601967,0,2,15
139.0,cluster_12013799529_12013799530_473195061,0,2,15
140.0,2496228891,1,2,15
140.0,cluster_12013799525_12013799526_2496228894,3,2,15
140.0,cluster_12013799527_12013799528_2190601967,1,2,15
140.0,cluster_12013799529_12013799530_473195061,1,2,15
141.0,2496228891,1,2,15
141.0,cluster_12013799525_12013799526_2496228894,1,2,15
141.0,cluster_12013799527_12013799528_2190601967,2,2,15
141.0,cluster_12013799529_12013799530_473195061,1,2,15
142.0,2496228891,1,2,15
142.0,cluster_12013799525_12013799526_2496228894,1,2,15
142.0,cluster_12013799527_12013799528_2190601967,2,2,15
142.0,cluster_12013799529_12013799530_473195061,1,2,15
143.0,2496228891,1,2,15
143.0,cluster_12013799525_12013799526_2496228894,1,2,15
143.0,cluster_12013799527_12013799528_2190601967,2,2,15
143.0,cluster_12013799529_12013799530_473195061,1,2,15
144.0,2496228891,2,2,15
144.0,cluster_12013799525_12013799526_2496228894,2,2,15
144.0,cluster_12013799527_12013799528_2190601967,3,2,15
144.0,cluster_12013799529_12013799530_473195061,2,2,15
145.0,2496228891,2,2,15
145.0,cluster_12013799525_12013799526_2496228894,2,2,15
145.0,cluster_12013799527_12013799528_2190601967,3,2,15
145.0,cluster_12013799529_12013799530_473195061,2,2,15
146.0,2496228891,2,2,15
146.0,cluster_12013799525_12013799526_2496228894,2,2,15
146.0,cluster_12013799527_12013799528_2190601967,3,2,15
